listing.garden;listing.suites;listing.bathtub;listing.pricingInfo.yearlyIptu;listing.pricingInfo.monthlyCondoFee;listing.address.neighborhood;listing.totalAreas;listing.pricingInfo.rentalPrice;listing.hottub;listing.sportcourt;listing.soundproofing;listing.furnished;listing.unitsOnTheFloor;listing.unitFloor;listing.bedrooms;listing.parkingSpaces;listing.bathrooms;listing.tenniscourt;listing.pool;listing.partyhall;listing.guestpark;listing.barbgrill;listing.playground;listing.usableAreas;listing.backyard;listing.fireplace;listing.gym;listing.floors;listing.mountainview;listing.sauna;listing.address.zone_Bairros;listing.address.zone_Ilha do Governador;listing.address.zone_Zona Central;listing.address.zone_Zona Norte;listing.address.zone_Zona Oeste;listing.address.zone_Zona Sul;listing.address.zone_normal;imvl_type_apartamentos;imvl_type_casas;imvl_type_casas-de-condominio;imvl_type_casas-de-vila;imvl_type_cobertura;imvl_type_flat;imvl_type_quitinetes;imvl_type_studio
0;1;0;-0.7791771885746183;-1.7927896951797664;0.026788990825688072;-0.31781109297514476;1.2;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;5;0;0;0;0;0;0;-0.3073803462938799;0;0;0;-0.39541774014950715;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.48351819072198704;-1.746412266882888;0.004525993883792049;-0.8748902312468992;1.47;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8610632149155236;0;0;0;-0.39541774014950715;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
0;0;0;0.001808843488935986;0.9729914832522484;0.10201834862385321;-0.8908067780546636;1.9;0;0;0;0;1.7166766373241567;2.7967509648085804;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.8768827254475706;0;0;0;2.0556707194179036;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-1.219396036236544;0.015412844036697248;-0.7953074972080771;1.0;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;0;0;0;0;0;-0.7819656622552889;0;0;0;-0.39541774014950715;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
0;1;0;-0.22133002281493666;0.4670559018317579;0.025321100917431193;-0.46106001424502446;1.1;0;1;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;1;1;1;0;1;1;-0.5763120253386783;0;0;0;-0.39541774014950715;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.5671952655859392;-1.0085895439780062;0.019694189602446482;-0.8908067780546636;1.0;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;1;0;0;1;-0.8768827254475706;0;0;1;-0.39541774014950715;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;1;0;-0.22133002281493666;-0.7977830517194684;0.004648318042813455;-1.0022226057090144;1.6;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.9876192991718994;0;0;0;-0.39541774014950715;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
0;1;0;-0.6452938687922947;-1.303718633139959;0.0022018348623853213;-1.0977218865556009;1.3;0;0;0;0;-0.3167208285234619;-0.41761155080532464;1;-1.0557224240444794;1;0;0;0;0;0;0;-1.082536362364181;0;0;0;-0.39541774014950715;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.3161640409940825;0.4670559018317579;0.026788990825688072;-1.0340556993245433;1.3;0;1;0;0;-0.3167208285234619;-0.41761155080532464;1;-0.01652545636674076;1;0;1;1;0;0;1;-1.0192583202359933;0;0;1;-0.39541774014950715;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;0;0;-0.7791771885746183;-0.616489468377126;0.013700305810397554;-0.9863060589012501;1.5;0;0;0;0;-0.3167208285234619;-0.0961752992439341;1;-1.0557224240444794;1;0;0;0;0;0;0;-0.9717997886398524;0;0;0;-0.39541774014950715;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
